Device Name,D2 - 2635257,,,,,,,,,,,
Device Model,Kestrel DROP 2,,,,,,,,,,,
Serial Number,2635257,,,,,,,,,,,
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
YYYY-MM-DD HH:MM:SS,°F,%,°F,°F,,,,,,,,
"Jul 28, 2021 / 1:46:15 PM",75.1,50.7,73.9,55.7,point,,,,,,,
"Jul 28, 2021 / 1:46:20 PM",75.1,50.8,73.9,55.7,point,,,,,,,
"Jul 28, 2021 / 1:46:25 PM",75.1,50.8,73.9,55.7,point,,,,,,,
"Jul 28, 2021 / 1:46:30 PM",75.1,50.9,73.9,55.7,point,,,,,,,
"Jul 28, 2021 / 1:46:35 PM",75.1,50.9,73.9,55.7,point,,,,,,,
"Jul 28, 2021 / 1:46:40 PM",75.2,51,73.9,55.8,point,,,,,,,
"Jul 28, 2021 / 1:46:45 PM",75.1,51,73.9,55.7,point,,,,,,,
"Jul 28, 2021 / 1:46:50 PM",75.1,51.1,73.9,55.8,point,,,,,,,
"Jul 28, 2021 / 1:46:55 PM",75.1,51.1,73.9,55.9,point,,,,,,,
"Jul 28, 2021 / 1:47:00 PM",75.1,51.1,73.9,55.9,point,,,,,,,
"Jul 28, 2021 / 1:47:05 PM",75.1,51.2,73.9,55.9,point,,,,,,,
"Jul 28, 2021 / 1:47:10 PM",75.1,51.2,73.9,55.9,point,,,,,,,
"Jul 28, 2021 / 1:47:15 PM",75.1,51.3,73.9,55.9,point,,,,,,,
"Jul 28, 2021 / 1:47:20 PM",75.1,51.4,73.9,56,point,,,,,,,
"Jul 28, 2021 / 1:47:25 PM",75.1,51.4,73.9,56,point,,,,,,,
"Jul 28, 2021 / 1:47:30 PM",75.1,51.5,73.9,56,point,,,,,,,
"Jul 28, 2021 / 1:47:35 PM",75.1,51.6,73.9,56,point,,,,,,,
"Jul 28, 2021 / 1:47:40 PM",75.1,51.6,73.9,56.1,point,,,,,,,
"Jul 28, 2021 / 1:47:45 PM",75.1,51.6,73.9,56.1,point,,,,,,,
"Jul 28, 2021 / 1:47:50 PM",75.1,51.7,74.1,56.1,point,,,,,,,
"Jul 28, 2021 / 1:47:55 PM",75.1,51.8,74.1,56.1,point,,,,,,,
"Jul 28, 2021 / 1:48:00 PM",75.1,51.8,74.1,56.1,point,,,,,,,
"Jul 28, 2021 / 1:48:05 PM",75.1,51.9,74.1,56.2,point,,,,,,,
"Jul 28, 2021 / 1:48:10 PM",75.1,52,74.1,56.3,point,,,,,,,
"Jul 28, 2021 / 1:48:15 PM",75.1,52.1,74.1,56.3,point,,,,,,,
"Jul 28, 2021 / 1:48:20 PM",75.1,52.1,74.1,56.4,point,,,,,,,
"Jul 28, 2021 / 1:48:25 PM",75.1,52.2,74.1,56.3,point,,,,,,,
"Jul 28, 2021 / 1:48:30 PM",75.1,52.2,74.1,56.4,point,,,,,,,
"Jul 28, 2021 / 1:48:35 PM",75.1,52.2,74.1,56.4,point,,,,,,,
"Jul 28, 2021 / 1:48:40 PM",75.1,52.4,74.1,56.4,point,,,,,,,
"Jul 28, 2021 / 1:48:45 PM",75.1,52.5,74.1,56.6,point,,,,,,,
"Jul 28, 2021 / 1:48:50 PM",75.1,52.7,74.1,56.6,point,,,,,,,
"Jul 28, 2021 / 1:48:55 PM",75.1,52.7,74.1,56.6,point,,,,,,,
"Jul 28, 2021 / 1:49:00 PM",75.1,52.7,74.1,56.6,point,,,,,,,
